URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://graph.facebook.com/v4.0/651205258366355/mobile_sdk_gk?fields=gatekeepers&format=json&include_headers=false&platform=ios&sdk=ios&sdk_version=5.8.0,COMPLETE,200,https,GET,application/json; charset=UTF-8,/192.168.1.155,50869,graph.facebook.com/31.13.71.1,443,,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,78,13,7,8,0,1,49,24.726562,0.0,1056.6406,729,164,,354,402,326,,72.3%
https://graph.facebook.com/v4.0/651205258366355?fields=app_events_feature_bitmask%2Cname%2Cdefault_share_mode%2Cios_dialog_configs%2Cios_sdk_dialog_flows.os_version%2812.2.0%29%2Cios_sdk_error_categories%2Csupports_implicit_sdk_logging%2Cgdpv4_nux_enabled%2Cgdpv4_nux_content%2Cios_supports_native_proxy_auth_flow%2Cios_supports_system_auth%2Capp_events_session_timeout%2Clogging_token%2Crestrictive_data_filter_params%2Caam_rules%2Cauto_event_mapping_ios&format=json&include_headers=false&sdk=ios,COMPLETE,200,https,GET,application/json; charset=UTF-8,/192.168.1.155,50871,graph.facebook.com/31.13.71.1,443,,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,80,13,8,9,0,0,50,28.478516,0.0,0.0,729,407,,354,402,441,,47.8%
https://graph.facebook.com/v4.0/651205258366355/button_auto_detection_device_selection?extinfo=%5B%22iPhone9%2C3%22%2C%22%22%2C%220%22%2C%220%22%2C%22en_US%22%5D&fields=&format=json&include_headers=false&sdk=ios,COMPLETE,400,https,GET,application/json; charset=UTF-8,/192.168.1.155,50870,graph.facebook.com/31.13.71.1,443,,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,79,15,8,7,0,1,48,22.621094,0.0,875.0,729,205,,354,396,146,,
https://p9-buy.itunes.apple.com,EXCEPTION,200,https,CONNECT,,/192.168.1.155,50872,p9-buy.itunes.apple.com/17.173.66.103,443,com.xk72.proxy.ProxyException: Client SSL handshake failed - Remote host closed connection during handshake,02 Jun 2020 16:27:36,,,,,12,24,66,,,,,,,1142,0,,21695,0,,,
https://us.api.iheart.com/api/v2/recs/1376870575?campaignId=foryou_mixtape_collections&limit=24&offset=0&timestamp=1591128319.745426&zipCode=08902,COMPLETE,200,https,GET,application/json;charset=utf-8,/192.168.1.155,50873,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,02 Jun 2020 16:27:36,125,22,7,6,0,10,80,204.71094,0.0,2436.5234,726,527,,372,0,24578,,
https://dpm.demdex.net/id?d_ver=2&d_rtbd=json&d_orgid=97D902BE53295FEE0A490D4C@AdobeOrg&d_mid=76972326282422086130118287978816428651&d_blob=6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y&dcs_region=7&d_cid_ic=profileid%011376870575%010,COMPLETE,200,https,GET,application/json;charset=utf-8,/192.168.1.155,50874,dpm.demdex.net/3.84.71.28,443,,02 Jun 2020 16:27:36,02 Jun 2020 16:27:38,02 Jun 2020 16:27:38,02 Jun 2020 16:27:38,1120,1025,14,40,0,1,40,15.188477,0.0,15588.867,1034,423,,15150,0,813,,64.5%
https://us.api.iheart.com/api/v3/locationConfig?deviceId=c9b317dbc49f8ecd527be5adcaee0835&email=livepivots%40mail.com&hostname=iphone.mobile&tags=Feature_iosPodcastCarouselRadioTab%2CFeature_iosSearchOptimization1%2CFeature_searchOptimizationV2%2CFeature_fourteenDayTrial1%2CFeature_stationSuggestion2%2CFeature_dragons1%2CFeature_iosNoStationSuggestion%2CFeature_iosLiveProfileCarouselOrder%2CFeature_landingFullScreenPlayer%2CFeature_iosEditorialCarouselRadioTab%2CLang_EN%2CCountry_US%2CPlatform_iOS%2Cuser_newDownload%2Cuser_newReg%2Ctier_free&version=9.20.0,COMPLETE,200,https,GET,application/json,/192.168.1.155,50875,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,63,2,7,21,0,0,33,511.9043,0.0,0.0,1174,854,,25888,0,5108,,68.6%
https://us.api.iheart.com/api/v3/subscription/skuHistory,COMPLETE,200,https,GET,application/json,/192.168.1.155,50877,us.api.iheart.com/151.101.209.13,443,,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,52,1,20,6,0,0,25,27.756836,0.0,0.0,726,349,,372,0,31,,-181.8%
https://sdk.iad-01.braze.com/api/v3/content_cards/sync,COMPLETE,201,https,POST,application/json,/192.168.1.155,50876,sdk.iad-01.braze.com/151.101.209.208,443,,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,97,13,24,17,0,0,43,294.16602,0.0,0.0,1186,209,252,26552,334,686,,28.0%
https://zc.adswizz.com/sdk/ihmcustomiOS.xml,COMPLETE,200,https,GET,text/xml,/192.168.1.155,50878,zc.adswizz.com/143.204.147.38,443,,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,02 Jun 2020 16:27:37,69,40,5,18,0,0,6,394.7998,0.0,0.0,1034,100,,26211,297,253,,
