URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
http://ocsp.apple.com/ocsp02-wwdr01/ME4wTKADAgEAMEUwQzBBMAkGBSsOAwIaBQAEFADrDMz0cWy6RiOj1S%2BY1D32MKkdBBSIJxcJqbYYYIvs67r2R1nFUlSjtwIIOomcfGsInV4%3D,COMPLETE,200,http,GET,application/ocsp-response,/10.189.59.78,50152,ocsp.apple.com/17.253.3.205,80,,20 Feb 2020 10:19:37,20 Feb 2020 10:19:37,20 Feb 2020 10:19:37,20 Feb 2020 10:19:37,151,59,44,,0,2,46,22.22754,0.0,1535.1562,,293,,,605,2539,,
https://settings.crashlytics.com,EXCEPTION,200,https,CONNECT,,/10.189.59.78,50153,settings.crashlytics.com/64.233.185.94,443,com.xk72.proxy.ProxyException: Client SSL handshake failed - Remote host closed connection during handshake,20 Feb 2020 10:19:38,,,,,69,26,57,,,,,,,1074,0,,23781,0,,,
https://us.api.iheart.com/api/v2/recs/3850866?campaignId=foryou_mixtape_collections&limit=24&offset=0&timestamp=0&zipCode=10013,COMPLETE,200,https,GET,application/json;charset=utf-8,/10.189.59.78,50155,us.api.iheart.com/151.101.181.13,443,,20 Feb 2020 10:19:38,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,414,52,36,78,1,43,204,117.694336,1472.6562,1098.9053,1046,462,,25298,0,23089,,
https://dpm.demdex.net/id?d_ver=2&d_rtbd=json&d_orgid=97D902BE53295FEE0A490D4C@AdobeOrg&d_mid=88798663047710852873448805299671889511&d_blob=6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y&dcs_region=9&d_cid_ic=profileid%013850866%010,COMPLETE,200,https,GET,application/json;charset=utf-8,/10.189.59.78,50156,dpm.demdex.net/34.223.239.34,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,491,103,90,188,0,1,109,34.68457,0.0,15583.984,1034,447,,15150,0,808,,64.7%
https://clients3.google.com/cast/senderconfig/config?fw=4.4.4.5.01&os=13.3.1&sm=0&id=-6099222320170083459&pl=iOS&bi=com.clearchannel.iheartradio.enterprise&rt=b&md=iPhone&hw=iPhone,COMPLETE,200,https,GET,application/octet-stream,/10.189.59.78,50154,clients3.google.com/64.233.177.113,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,167,54,24,55,1,3,30,120.30957,1234.375,6285.8066,1054,210,,18806,395,109,,
https://us.api.iheart.com/api/v3/locationConfig?accountType=fb&deviceId=861f0c2a87c0e7f8d2d8a936755386c3&hostname=iphone.mobile&oauth=1453515043&tags=Feature_switchOrder%2CFeature_adSuppression%2CFeature_searchOptimizationV2%2CFeature_dragons1%2CFeature_podcastProfile%2CFeature_offlinePlayback%2CFeature_stationSuggestion2%2CFeature_fourteenDayTrial1%2CFeature_iosPodcastNotifications1%2CFeature_iosSearchOptimization1%2CFeature_iosPodcastCarouselRadioTab%2CFeature_iosPodcastNotifications%2CFeature_iosLiveProfile1%2CFeature_iosNoStationSuggestion%2CFeature_iosSuppressedLocationPrompt%2CLang_EN%2CCountry_US%2CPlatform_iOS%2Cuser_newDownload%2Ctier_aa&version=9.7.0-dev,COMPLETE,200,https,GET,application/json,/10.189.59.78,50160,us.api.iheart.com/151.101.181.13,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,169,1,41,39,0,1,87,41.98047,0.0,5484.375,726,923,,372,0,5244,,71.4%
https://graph.facebook.com/v4.0,COMPLETE,200,https,POST,application/json; charset=UTF-8,/10.189.59.78,50158,graph.facebook.com/31.13.66.4,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,143,53,12,29,2,1,46,123.51758,753.90625,16155.273,1050,86,408,15461,365,717,43.4%,64.4%
https://graph.facebook.com/v4.0,COMPLETE,200,https,POST,application/json; charset=UTF-8,/10.189.59.78,50159,graph.facebook.com/31.13.66.4,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,157,52,13,29,2,2,59,110.81152,735.35156,7963.379,1050,86,370,15457,368,484,65.2%,74.8%
https://sandbox.itunes.apple.com/WebObjects/MZFastFinance.woa/wa/inAppCheckDownloadQueue,COMPLETE,200,https,POST,text/xml,/10.189.59.78,50161,sandbox.itunes.apple.com/17.154.66.159,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:40,20 Feb 2020 10:19:40,474,105,80,195,0,0,94,49.725586,0.0,0.0,1146,1600,582,20391,0,417,,
https://assets.adobedtm.com/b213090c5204bf94318f4ef0539a38b487d10368/scripts/satellite-5944061d64746d6ede00aa4d.json,COMPLETE,304,https,GET,application/json,/10.189.59.78,50157,assets.adobedtm.com/23.214.109.26,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,307,112,42,101,2,1,49,60.820312,618.65234,17434.57,1054,213,,17693,160,,,
https://assets.adobedtm.com/b213090c5204bf94318f4ef0539a38b487d10368/scripts/satellite-5944061e64746d4539009ef9.json,COMPLETE,304,https,GET,application/json,/10.189.59.78,50157,assets.adobedtm.com/23.214.109.26,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,52,,,,1,1,50,5.0322266,105.46875,156.25,,108,,,160,,,
https://graph.facebook.com/v4.0/651205258366355?fields=app_events_feature_bitmask%2Cname%2Cdefault_share_mode%2Cios_dialog_configs%2Cios_sdk_dialog_flows.os_version%2813.3.1%29%2Cios_sdk_error_categories%2Csupports_implicit_sdk_logging%2Cgdpv4_nux_enabled%2Cgdpv4_nux_content%2Cios_supports_native_proxy_auth_flow%2Cios_supports_system_auth%2Capp_events_session_timeout%2Clogging_token%2Crestrictive_data_filter_params%2Caam_rules%2Cauto_event_mapping_ios&format=json&include_headers=false&sdk=ios,COMPLETE,200,https,GET,application/json; charset=UTF-8,/10.189.59.78,50163,graph.facebook.com/31.13.66.4,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,88,1,16,33,3,2,33,197.58691,474.60938,7981.9336,1050,408,,15453,453,441,,47.8%
https://graph.facebook.com/v4.0/651205258366355/activities,COMPLETE,400,https,POST,application/json; charset=UTF-8,/10.189.59.78,50165,graph.facebook.com/31.13.66.4,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,144,2,15,33,3,4,87,123.71777,688.1504,3937.7441,1050,105,959,15461,482,186,40.3%,
https://graph.facebook.com/v4.0/121897277851831/activities,COMPLETE,200,https,POST,application/json; charset=UTF-8,/10.189.59.78,50164,graph.facebook.com/31.13.66.4,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,367,3,14,33,2,1,314,47.48633,960.9375,15505.859,1050,105,813,15461,401,16,33.5%,
https://us.api.iheart.com/api/v3/subscription/skuHistory,COMPLETE,200,https,GET,application/json,/10.189.59.78,50169,us.api.iheart.com/151.101.181.13,443,,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,20 Feb 2020 10:19:39,160,1,38,41,1,1,78,9.301758,1008.78906,479.4922,726,307,,372,0,119,,-1.7%
